title,url,source,published_date,category
Top 5 Strategies to Reduce Latency,https://blog.bytebytego.com/p/ep110-top-5-strategies-to-reduce?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,5/5/2024,System Design
Unlocking the Power of SQL Queries for Improved Performance,https://blog.bytebytego.com/p/unlocking-the-power-of-sql-queries?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,5/3/2024,Database
My Favorite 10 Books for Software Developers,https://blog.bytebytego.com/p/ep111-my-favorite-10-books-for-software?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,5/12/2024,Software Engineering
API Security Best Practices,https://blog.bytebytego.com/p/api-security-best-practices?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,5/24/2024,Security
A Crash Course on REST APIs,https://blog.bytebytego.com/p/a-crash-course-on-rest-apis?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,5/31/2024,API Design
7 Must-know Strategies to Scale Your Database,https://blog.bytebytego.com/p/ep114-7-must-know-strategies-to-scale?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,6/2/2024,Database
A Crash Course on Content Delivery Networks (CDN),https://blog.bytebytego.com/p/a-crash-course-on-content-delivery?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,6/7/2024,System Design
11 steps to go from Junior to Senior Developer,https://blog.bytebytego.com/p/ep116-11-steps-to-go-from-junior?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,6/16/2024,Misc
A Crash Course on Microservice Communication Patterns,https://blog.bytebytego.com/p/a-crash-course-on-microservice-communication?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,6/21/2024,Microservices
What makes HTTP2 faster than HTTP1,https://blog.bytebytego.com/p/ep117-what-makes-http2-faster-than?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,6/23/2024,Networking
What are the differences among database locks ?,https://blog.bytebytego.com/p/ep118-what-are-the-differences-among?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,6/30/2024,Database
A Crash Course on Database Scaling Strategies,https://blog.bytebytego.com/p/a-crash-course-in-database-scaling?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,7/5/2024,Scalability
A Crash Course on Distributed Systems,https://blog.bytebytego.com/p/a-crash-course-on-distributed-systems?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,7/12/2024,Distributed Systems
A Crash Course on Relational Database Design,https://blog.bytebytego.com/p/a-crash-course-on-relational-database?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,7/19/2024,Database
API Gateway 101,https://blog.bytebytego.com/p/ep122-api-gateway-101?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,7/28/2024,System Design
A Crash Course on Domain-Driven Design,https://blog.bytebytego.com/p/a-crash-course-on-domain-driven-design?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,8/2/2024,Design Patterns
What is a Load Balancer,https://blog.bytebytego.com/p/ep123-what-is-a-load-balancer?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,8/4/2024,System Design
A Crash Course on Microservice Design Patterns,https://blog.bytebytego.com/p/a-crash-course-on-microservices-design?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,8/9/2024,Microservices
A Crash Course on Architectural Scalability,https://blog.bytebytego.com/p/a-crash-course-on-architectural-scalability?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,8/16/2024,Scalability
"Password, Session, Cookie, Token, JWT, SSO, OAuth - Authentication Explained - Part 1",https://blog.bytebytego.com/p/password-session-cookie-token-jwt?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,4/13/2023,Security
"Password, Session, Cookie, Token, JWT, SSO, OAuth - Authentication Explained - Part 2",https://blog.bytebytego.com/p/password-session-cookie-token-jwt-ec1?r=1272gv&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,4/6/2023,Security